date,trail_key,trail_id,label,color,username,trusted,comment
2026-06-17,phase1,0,0,red,ben-puterbaugh,False,Wet
2026-06-16,phase1,0,2,green,joe-dietrich,False,"Jun 16, 2026"
2026-06-10,phase1,0,2,green,andy-keyes,False,Mostly Dry - A few soft spots but very rideable.
2026-06-08,phase1,0,1,yellow,chris-harper,False,"Some Mud - About 4-5 wet holes holding water, but definitely rideable."
2026-06-06,phase1,0,0,red,ben-puterbaugh,False,Wet
2026-06-04,phase1,0,2,green,darren-z,False,Dry - Send it!
2026-05-30,phase1,0,1,yellow,timothy-ross,True,Some Mud
2026-05-29,phase1,0,0,red,combo-trails,True,Muddy
2026-05-29,phase1,0,0,red,timothy-ross,True,Muddy
2026-05-22,phase1,0,0,red,ben-puterbaugh,False,"Muddy, Some Mud, Fallen Trees"
2026-05-20,phase1,0,0,red,combo-trails,True,Muddy
2026-05-19,phase1,0,0,red,ben-puterbaugh,False,"Muddy, Some Mud - 1"" rain 5/19/27 pm"
2026-05-15,phase1,0,1,yellow,darren-z,False,"Dry, Fallen Trees - Tree across the trail about four-miles in counterclockwise."
2026-05-11,phase1,0,1,yellow,timothy-ross,True,Mostly Dry
2026-05-06,phase1,0,0,red,ben-puterbaugh,False,"Muddy, Some Mud - 1"" of rain 5/5/26 pm. Give it a few days"
2026-04-30,phase1,0,0,red,ben-puterbaugh,False,"Muddy, Some Mud - Lots of rain bro"
2026-04-28,phase1,0,0,red,ben-puterbaugh,False,"Muddy, Some Mud - 3/4"" rain 4/27 pm"
2026-04-25,phase1,0,1,yellow,darren-z,False,Some Mud - Trail surface is damp but firm with several puddles and stretches of mud.  The long overland bridge is missing a three-foot section of planks.
2026-04-23,phase1,0,0,red,ben-puterbaugh,False,"Muddy, Some Mud - 1"" of rain 4/22 6pm
Give it at least 36hrs"
2026-04-20,phase1,0,2,green,eric-norris,False,"Dry: 3 SMALL muddy spots, remainder is hard pavk."
2026-04-04,phase1,0,1,yellow,darren-z,False,Muddy - Lots of mud and deep puddles.  It's going to need several days without rain to dry out.
2026-03-28,phase1,0,1,yellow,nadia-almuti,False,Some Mud
2026-03-28,phase1,0,1,yellow,timothy-ross,True,Some Mud
2026-03-26,phase1,0,1,yellow,anonymous,False,Some Mud
